,val
0,136
1,136
2,136
3,136
4,126
5,117
6,107
7,97
8,82
9,78
10,73
11,68
12,53
13,48
14,43
15,39
16,34
17,29
18,24
19,19
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,-9
57,-9
58,-9
59,-9
60,-9
61,-9
62,-9
63,-9
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,-9
77,-9
78,-9
79,-9
80,-19
81,-19
82,-19
83,-19
84,-9
85,-9
86,-9
87,-9
88,-9
89,-9
90,-9
91,-9
92,-9
93,-9
94,-9
95,-9
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,9
124,9
125,14
126,19
127,24
128,39
129,39
130,39
131,39
132,48
133,48
134,48
135,48
136,48
137,53
138,53
139,53
140,53
141,53
142,58
143,63
144,73
145,73
146,73
147,73
148,63
149,63
150,63
151,63
152,58
153,48
154,43
155,39
156,34
157,29
158,24
159,19
160,14
161,9
162,4
163,0
164,-9
165,-14
166,-14
167,-14
168,-19
169,-19
170,-24
171,-24
172,-24
173,-29
174,-29
175,-29
176,-19
177,-19
178,-19
179,-24
180,-24
181,-24
182,-24
183,-24
184,-24
185,-24
186,-24
187,-24
188,-34
189,-39
190,-39
191,-39
192,-29
193,-29
194,-29
195,-29
196,-29
197,-29
198,-29
199,-29
200,-29
201,-29
202,-29
203,-29
204,-29
205,-24
206,-24
207,-24
208,-34
209,-48
210,-73
211,-97
212,-107
213,-107
214,-82
215,-48
216,9
217,92
218,204
219,331
220,497
221,649
222,780
223,912
224,1029
225,1098
226,1107
227,1005
228,766
229,448
230,156
231,-63
232,-195
233,-229
234,-185
235,-136
236,-112
237,-82
238,-43
239,-39
240,-29
241,-19
242,-9
243,0
244,0
245,4
246,9
247,9
248,4
249,4
250,-4
251,-9
252,-9
253,-9
254,-4
255,0
256,0
257,4
258,4
259,0
260,0
261,0
262,4
263,14
264,14
265,19
266,19
267,9
268,9
269,9
270,9
271,14
272,14
273,14
274,24
275,14
276,14
277,14
278,14
279,24
280,24
281,24
282,24
283,34
284,34
285,34
286,34
287,34
288,39
289,39
290,43
291,43
292,43
293,43
294,43
295,43
296,48
297,48
298,58
299,48
300,48
301,43
302,43
303,53
304,63
305,63
306,63
307,68
308,68
309,68
310,73
311,63
312,73
313,78
314,82
315,97
316,97
317,97
318,102
319,107
320,112
321,126
